,Path_1,Path_2,Path_3,Path_4,Path_5,Path_6,Path_7,Path_8,Path_9,Path_10,Path_11,Path_12,Path_13,Path_14,Path_15,Path_16,Path_17,Path_18,Path_19,Path_20
0.31,4.986677591710162,5.355270062537595,4.701728308910734,4.811660979943011,5.304635700435005,4.871853318291402,4.536932049561407,4.813513957048166,4.5896014585379366,5.038893881357934,4.934565711642466,5.16601517833872,5.06694974911421,4.8735779063751785,4.745103310788755,5.041428541943885,5.026257989626312,5.057320049595245,4.897680298791888,5.533240873985001
0.32,4.90815938247463,5.38444597746002,4.773271721977164,4.748476240008908,5.286562709645657,4.896075091254298,4.56344154584099,4.839646337040686,4.619805161932379,5.045964933064424,5.023701648130774,5.130000522159665,5.058383101765337,4.874967042444635,4.700121099518408,5.038141790549229,4.988786645590453,5.082326209662115,4.957586035583974,5.511098537518765
0.33,4.923227803696785,5.414657404244112,4.773926429891929,4.7256491139626196,5.170633126045936,4.8353309141792575,4.554864519657923,4.813171839817633,4.657525561929107,5.063033993972843,5.023105162098664,5.165163490148623,5.108192466956399,4.901254497234366,4.617808753453503,4.924397312406771,5.008480356936883,5.008788005082902,4.943618149589374,5.544307525753697
0.34,4.973435632158712,5.399110755700845,4.793144444732645,4.75566165496913,5.14384928807593,4.835932430955285,4.5364575222690995,4.781081823832762,4.67479778055988,5.160790359883835,5.031606728585955,5.17879513088644,5.158454261576038,4.856432665402133,4.64234075316914,4.985939456332232,4.97910923937785,5.0098887126754414,5.039534835253541,5.464386612740337
0.35000000000000003,4.961858460570225,5.411910325999203,4.789579760881441,4.771307705161899,5.15234919317956,4.80027907143915,4.488586233457233,4.78981062574663,4.742234965854661,5.207302222101981,5.008315933042774,5.1738892501236515,5.15054945855998,4.843564814798874,4.583537811391632,5.014443804870561,4.91559030480297,5.0809616093216405,5.023166479098916,5.4866687609663565
0.36,4.9442949772134215,5.269236544154466,4.808930300784123,4.734697512500719,5.081207247714569,4.779383975065519,4.44510169140023,4.74502410318222,4.756833276312745,5.274310855646299,4.948911199317492,5.185471404810922,5.23376686935827,4.873095830444748,4.626562892254416,5.024380589530252,4.866966130439177,5.035520663842146,5.077220914840629,5.4462110001645945
0.37,5.0169266223865465,5.277113910786531,4.793138334223335,4.7240531977512745,5.0202212301284765,4.738344580874177,4.444705926312474,4.725544151270606,4.789547200879786,5.310889042913164,4.927100374169998,5.182266145409411,5.22979690972579,4.914363433366333,4.6138876983426425,5.025157524145538,4.847241374849169,4.954221939459381,5.079606819047983,5.4221792447848784
0.38,4.956612062552462,5.374061996836625,4.713017847152913,4.719919271640497,5.04016510126573,4.71920840652205,4.461211752856735,4.749783554308324,4.75545235460465,5.361153578581007,4.923420506967081,5.2467481041909565,5.077349111680915,4.92067202053982,4.648828718792425,5.053329163754411,4.762019261219837,4.912333883562187,5.084495682082984,5.427624002986959
0.39,4.994179160560523,5.428333825102892,4.709624438175467,4.679717105771033,5.104450226819597,4.684253354344553,4.435192408988833,4.749255112851235,4.787646758597902,5.430703570503446,4.953112919571669,5.277742584707979,5.093392109279187,4.999279273173945,4.633905279186605,5.056342477327836,4.770211871712323,4.853001292534939,5.003796822050594,5.44412521958275
0.4,4.9590765343096495,5.414644949803586,4.672091690437069,4.656453688427699,5.165384787576969,4.717343637049294,4.484542805272245,4.76256394297993,4.78871268222655,5.382501810927864,4.987979826866999,5.36512763791014,4.986297371061236,4.910342476457878,4.626200074271887,5.068202888007967,4.790411559680021,4.905078771313604,5.065220116225089,5.525129225530339
0.41000000000000003,4.930742872621192,5.385154552067276,4.721826028787539,4.665849969197176,5.146260431869444,4.640772019048284,4.392395560510609,4.810890802208595,4.756436444080552,5.444478307143776,4.942680329281889,5.309781144773944,4.949050757512827,4.904198308469979,4.690024631401822,5.096017460155591,4.7753915576492725,4.865384188097394,5.045982909872426,5.5152626817051065
0.42,4.961626129175089,5.428295290964937,4.70573298212204,4.666437073952043,5.1229317532813035,4.638242436661795,4.327758154962265,4.764293014512937,4.756459199684872,5.416038638756935,4.921207523454628,5.317134242257784,4.899106436195598,4.933235643190896,4.71360258878553,5.087327602557156,4.804867820412907,4.915339105121764,5.093116948728041,5.456830201637192
0.43,4.925136039670106,5.33846092537108,4.72004741087093,4.698881072182694,5.09091061184886,4.689969654337468,4.395060973645512,4.791654917250895,4.745426843161657,5.412603718633,4.940807311476591,5.336405528949971,4.949287204268077,5.004922233128357,4.7785226383728,5.0877971325986655,4.804820883662261,4.884083331827276,5.069730761524703,5.479765968036243
